Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON,ENGL 244 READING DRAMA (5),BELLEVUE COLLEGE,ENGL& 114 INTRODUCTION TO DRAMA (5),Humanities,1994/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ENGL 250 AMERICAN LITERATURE (5),BELLEVUE COLLEGE,ENGL& 244 AMERICAN LITERATURE I (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ENGL 258 INTRODUCTION AFRICAN AMERICAN LITERATURE (5),BELLEVUE COLLEGE,ENGL 261 AMERICAN LITERATURE: ESSENTIAL BLACK VOICE (5),,,
UNIVERSITY OF WASHINGTON,ENGL 281 INTERMEDIATE EXPOSITORY WRITING (5),BELLEVUE COLLEGE,ENGL 271 EXPOSITORY WRITING I (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ENGL 284 BEGINNING SHORT STORY WRITING (5),BELLEVUE COLLEGE,ENGL 237 WRITING FICTION I (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ENGR 231 INTRODUCTION TO TECHNICAL COMMUNICATION (3),BELLEVUE COLLEGE,ENGL& 235 TECHNICAL WRITING (5),,,
UNIVERSITY OF WASHINGTON,ENVIR 100 ENVIRONMENTAL STUDIES: INTERDISCIPLINARY FOUNDATIONS (5),BELLEVUE COLLEGE,ENVS& 100 SURVEY OF ENVIRONMENTAL SCIENCE (5),Sciences (No Lab),2011/9/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,ESC 110 INTRODUCTION TO ENVIRONMENTAL SCIENCE (5),BELLEVUE COLLEGE,ENVS& 100 SURVEY OF ENVIRONMENTAL SCIENCE (5),Sciences (No Lab),2002/1/1,
UNIVERSITY OF WASHINGTON,ESRM 100 INTRODUCTION TO ENVIRONMENTAL SCIENCE (5),BELLEVUE COLLEGE,ENVS& 100 SURVEY OF ENVIRONMENTAL SCIENCE (5),Sciences (No Lab),2008/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,ESS 101 INTRODUCTION TO GEOLOGICAL SCIENCES (5),BELLEVUE COLLEGE,GEOL& 101 INTRODUCTION TO PHYSICAL GEOLOGY (6),Sciences (Lab),,
UNIVERSITY OF WASHINGTON,ESS 102 SPACE AND SPACE TRAVEL (5),BELLEVUE COLLEGE,ASTR 901C TRANSFER-IN ASTRONOMY COURSE NON-LAB,Sciences (No Lab),,
UNIVERSITY OF WASHINGTON,FISH 101 INTRODUCTION TO FISHERIES SCIENCE (5),BELLEVUE COLLEGE,ELECT 901R TRANSFER-IN RESTRICTED ELECTIVE,Restricted Electives,1994/1/1,
UNIVERSITY OF WASHINGTON,FRENCH 101 ELEMENTARY (5),BELLEVUE COLLEGE,FRCH& 121 FRENCH I (5),Humanities,2008/1/1,
UNIVERSITY OF WASHINGTON,FRENCH 102 ELEMENTARY (5),BELLEVUE COLLEGE,FRCH& 122 FRENCH II (5),Humanities,2008/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,FRENCH 103 ELEMENTARY (5),BELLEVUE COLLEGE,FRCH& 123 FRENCH III (5),Humanities,2002/1/1,
UNIVERSITY OF WASHINGTON,FRENCH 201 INTERMEDIATE (5),BELLEVUE COLLEGE,FRCH& 221 FRENCH I (V1-5),Humanities,2008/1/1,
UNIVERSITY OF WASHINGTON,FRENCH 202 INTERMEDIATE (5),BELLEVUE COLLEGE,FRCH& 222 FRENCH (5),Humanities,2008/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,FRENCH 203 INTERMEDIATE FRENCH (5),BELLEVUE COLLEGE,FRCH& 223 FRENCH VI (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,"G H 101 INTRODUCTION TO GLOBAL HEALTH: DISPARITIES, DETERMINANTS, POLICIES, AND OUTCOMES (5)",BELLEVUE COLLEGE,BIOL 135 INTRODUCTION TO GLOBAL HEALTH (5),,,
UNIVERSITY OF WASHINGTON,GEN ST 199 THE UNIVERSITY COMMUNITY (1-2),BELLEVUE COLLEGE,HD 100 FIRST YEAR EXPERIENCE (1-2),Restricted Electives,2008/1/1,
UNIVERSITY OF WASHINGTON,GEOG 100 INTRODUCTION TO GEOGRAPHY (5),BELLEVUE COLLEGE,GEOG& 100 INTRODUCTION TO GEOGRAPHY (5),Social Sciences,,
UNIVERSITY OF WASHINGTON,GEOG 102 WORLD REGIONS (5),BELLEVUE COLLEGE,GEOG 102 WORLD REGIONAL GEOGRAPHY (5),Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON,GEOG 123 INTRODUCTION TO GLOBALIZATION (5),BELLEVUE COLLEGE,GEOG 123 INTRODUCTION TO GLOBALIZATION (5),Social Sciences,2002/1/1,
UNIVERSITY OF WASHINGTON,GEOG 200 INTRODUCTION TO HUMAN GEOGRAPHY (5),BELLEVUE COLLEGE,GEOG& 200 HUMAN GEOGRAPHY (5),,,
